match_id,match_date,home_team,away_team,total_goals,elo_difference,home_elo,away_elo,home_avg_goals_before,away_avg_goals_before,home_avg_conceded_before,away_avg_conceded_before,rain_flag,precipitation_mm,precipitation_bucket,temperature_c,temperature_bucket,humidity_percent,humidity_bucket,heat_index_c,heat_index_bucket,wet_bulb_temperature_c,wet_bulb_bucket,wbgt_c,wind_speed_kmh,cloud_cover_percent,pressure_hpa,cooling_break_flag,cooling_break_count,venue_type
WC2026-030,2026-06-19,Brazil,Haiti,,325,1985,1660,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Unknown
WC2026-031,2026-06-19,USA,Australia,,65,1900,1835,4.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,Unknown
WC2026-032,2026-06-19,Paraguay,Turkiye,,-185,1635,1820,1.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,Unknown
WC2026-033,2026-06-20,Germany,Ivory Coast,,195,1950,1755,7.0,1.0,1.0,0.0,0.0,0.0,None,22.9,Medium,39.0,Low,22.9,Low,14.52,Low,17.03,10.5,54.0,999.1,0.0,0.0,Open
WC2026-034,2026-06-20,Ecuador,Curacao,,190,1800,1610,0.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,Unknown
WC2026-035,2026-06-20,Netherlands,Sweden,,155,1955,1800,5.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,Unknown
WC2026-036,2026-06-20,Japan,Tunisia,,90,1870,1780,2.0,1.0,2.0,5.0,0.0,0.0,None,23.5,Medium,96.0,High,23.5,Low,23.01,Medium,23.16,4.1,40.0,955.1,0.0,0.0,Open
WC2026-037,2026-06-21,Spain,Saudi Arabia,,250,1970,1720,0.0,1.0,0.0,1.0,1.0,0.2,Light,26.5,Medium,69.0,Medium,26.5,Low,22.19,Medium,23.48,4.7,91.0,979.3,0.0,0.0,Covered
WC2026-038,2026-06-21,Belgium,Iran,,140,1945,1805,1.0,2.0,1.0,2.0,0.0,0.0,None,22.5,Medium,56.0,Medium,22.5,Low,16.7,Low,18.44,9.6,21.0,1008.4,0.0,0.0,Partial
WC2026-039,2026-06-21,Uruguay,Cape Verde,,250,1935,1685,1.0,0.0,1.0,0.0,1.0,0.4,Light,31.4,High,58.0,Medium,36.87,High,24.91,Medium,26.86,7.0,82.0,1015.2,0.0,0.0,Open
WC2026-040,2026-06-21,New Zealand,Egypt,,-110,1640,1750,2.0,1.0,2.0,1.0,0.0,0.0,None,22.0,Medium,41.0,Low,22.0,Low,14.1,Low,16.47,8.5,5.0,1013.7,0.0,0.0,Covered
