match_id,match_date,home_team,away_team,competition_stage,stadium,city,country,forecast_temperature_c,forecast_humidity_percent,forecast_precipitation_mm,forecast_heat_index_c,forecast_wet_bulb_c,forecast_wbgt_c,predicted_cooling_break,predicted_home_goals,predicted_away_goals,predicted_total_goals,probability_over_2_5_goals,win_probability,draw_probability,loss_probability,forecast_source
WC2026-067,2026-06-27,Panama,England,Group Stage,MetLife Stadium,East Rutherford,USA,18.5,95.0,0.8,18.5,17.9,18.08,0,1.92,1.39,3.31,0.643,0.499,0.222,0.279,Open-Meteo Forecast API
WC2026-068,2026-06-27,Croatia,Ghana,Group Stage,Lincoln Financial Field,Philadelphia,USA,20.3,95.0,0.0,20.3,19.69,19.87,0,2.18,0.54,2.72,0.511,0.753,0.17,0.078,Open-Meteo Forecast API
WC2026-069,2026-06-27,Colombia,Portugal,Group Stage,Hard Rock Stadium,Miami Gardens,USA,31.8,54.0,0.0,36.43,24.57,26.74,0,1.86,1.55,3.41,0.662,0.452,0.223,0.324,Open-Meteo Forecast API
WC2026-070,2026-06-27,DR Congo,Uzbekistan,Group Stage,Mercedes-Benz Stadium,Atlanta,USA,34.5,33.0,0.0,34.5,22.51,26.11,0,2.09,1.41,3.5,0.679,0.532,0.211,0.258,Open-Meteo Forecast API
WC2026-071,2026-06-27,Algeria,Austria,Group Stage,Arrowhead Stadium,Kansas City,USA,26.3,75.0,0.0,26.3,22.87,23.9,0,2.24,0.7,2.94,0.563,0.724,0.175,0.101,Open-Meteo Forecast API
WC2026-072,2026-06-27,Jordan,Argentina,Group Stage,AT&T Stadium,Arlington,USA,32.4,42.0,0.0,34.14,22.81,25.69,0,1.61,1.59,3.2,0.62,0.387,0.234,0.379,Open-Meteo Forecast API
WC2026-073,2026-06-28,Grp-A Runner-up,Grp-B Runner-up,Round of 32,SoFi Stadium,Inglewood,USA,21.7,51.0,0.0,21.7,15.3,17.22,0,1.73,0.97,2.7,0.506,0.552,0.237,0.21,Open-Meteo Forecast API
WC2026-074,2026-06-29,Grp-C Winner,Grp-F Runner-up,Round of 32,NRG Stadium,Houston,USA,33.7,48.0,0.0,38.27,25.09,27.67,0,2.5,1.45,3.95,0.754,0.604,0.185,0.211,Open-Meteo Forecast API
WC2026-075,2026-06-29,Grp-E Winner,Best 3rd TBD,Round of 32,Gillette Stadium,Foxborough,USA,29.2,38.0,0.0,29.2,19.41,22.35,0,1.62,0.83,2.45,0.443,0.561,0.248,0.191,Open-Meteo Forecast API
WC2026-076,2026-06-29,Grp-F Winner,Grp-C Runner-up,Round of 32,Estadio BBVA,Guadalupe,Mexico,31.7,40.0,0.0,32.65,21.83,24.79,0,1.53,1.45,2.98,0.572,0.396,0.244,0.36,Open-Meteo Forecast API
WC2026-077,2026-06-30,Grp-E Runner-up,Grp-I Runner-up,Round of 32,AT&T Stadium,Arlington,USA,33.4,41.0,0.0,35.5,23.42,26.41,0,1.86,1.41,3.27,0.635,0.482,0.226,0.293,Open-Meteo Forecast API
WC2026-078,2026-06-30,Grp-I Winner,Best 3rd TBD,Round of 32,MetLife Stadium,East Rutherford,USA,26.2,57.0,0.0,26.2,20.13,21.95,0,1.51,0.44,1.95,0.31,0.641,0.254,0.106,Open-Meteo Forecast API
WC2026-079,2026-06-30,Grp-A Winner,Best 3rd TBD,Round of 32,Estadio Azteca,Mexico City,Mexico,17.1,74.0,0.2,17.1,14.05,14.96,0,2.16,1.68,3.84,0.738,0.49,0.206,0.303,Open-Meteo Forecast API
WC2026-080,2026-07-01,Grp-L Winner,Best 3rd TBD,Round of 32,Mercedes-Benz Stadium,Atlanta,USA,30.5,38.0,0.0,30.5,20.46,23.47,0,1.65,1.16,2.81,0.533,0.488,0.244,0.268,Open-Meteo Forecast API
WC2026-081,2026-07-01,Grp-G Winner,Best 3rd TBD,Round of 32,Lumen Field,Seattle,USA,17.3,54.0,0.1,17.3,11.86,13.49,0,2.08,1.68,3.76,0.725,0.474,0.21,0.316,Open-Meteo Forecast API
WC2026-082,2026-07-01,Grp-D Winner,Best 3rd TBD,Round of 32,Levi's Stadium,Santa Clara,USA,25.0,33.0,0.0,25.0,15.15,18.11,0,2.16,0.89,3.05,0.588,0.664,0.193,0.143,Open-Meteo Forecast API
WC2026-083,2026-07-02,Grp-H Winner,Grp-J Runner-up,Round of 32,SoFi Stadium,Inglewood,USA,23.0,50.0,0.0,23.0,16.28,18.3,0,1.7,0.85,2.55,0.469,0.575,0.239,0.186,Open-Meteo Forecast API
WC2026-084,2026-07-02,Grp-K Runner-up,Grp-L Runner-up,Round of 32,BMO Field,Toronto,Canada,31.7,61.0,0.0,38.54,25.69,27.49,0,2.8,1.35,4.15,0.783,0.676,0.162,0.162,Open-Meteo Forecast API
WC2026-085,2026-07-02,Grp-B Winner,Best 3rd TBD,Round of 32,BC Place,Vancouver,Canada,12.6,88.0,0.0,12.6,11.27,11.67,0,2.38,1.69,4.07,0.772,0.532,0.195,0.273,Open-Meteo Forecast API
WC2026-086,2026-07-03,Grp-D Runner-up,Grp-G Runner-up,Round of 32,AT&T Stadium,Arlington,USA,34.0,40.0,0.0,36.23,23.7,26.79,0,1.99,1.45,3.44,0.668,0.502,0.217,0.281,Open-Meteo Forecast API
WC2026-087,2026-07-03,Grp-J Winner,Grp-H Runner-up,Round of 32,Hard Rock Stadium,Miami Gardens,USA,31.9,48.0,0.1,34.88,23.56,26.06,0,1.74,1.39,3.13,0.605,0.458,0.233,0.308,Open-Meteo Forecast API
WC2026-088,2026-07-03,Grp-K Winner,Best 3rd TBD,Round of 32,Arrowhead Stadium,Kansas City,USA,30.3,71.0,0.0,38.57,26.03,27.31,0,2.73,1.14,3.87,0.742,0.708,0.158,0.134,Open-Meteo Forecast API
WC2026-089,2026-07-04,TBD,TBD,Round of 16,NRG Stadium,Houston,USA,34.4,45.0,0.0,38.61,25.08,27.88,0,2.85,1.46,4.31,0.804,0.662,0.163,0.175,Open-Meteo Forecast API
WC2026-090,2026-07-04,TBD,TBD,Round of 16,Lincoln Financial Field,Philadelphia,USA,35.2,32.0,0.0,35.2,22.8,26.52,0,1.88,1.46,3.34,0.649,0.476,0.224,0.301,Open-Meteo Forecast API
